טבלה,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
טבלת ישובים    ,1358      ,אום בטין                 ,UMM BATIN                ,62   ,באר שבע             ,62   ,באר שבע                  ,69  ,אל קסום
טבלת ישובים    ,1108      ,אומן                     ,OMEN                     ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,680       ,אומץ                     ,OMEZ                     ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,31        ,אופקים                   ,OFAQIM                   ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,1294      ,אור הגנוז                ,OR HAGANUZ               ,21   ,צפת                 ,21   ,צפת                      ,2   ,מרום הגליל
טבלת ישובים    ,67        ,אור הנר                  ,OR HANER                 ,61   ,אשקלון              ,61   ,אשקלון                   ,37  ,שער הנגב
טבלת ישובים    ,2400      ,אור יהודה                ,OR YEHUDA                ,52   ,רמת גן              ,52   ,רמת גן                   ,0   ,
טבלת ישובים    ,1020      ,אור עקיבא                ,OR AQIVA                 ,32   ,חדרה                ,32   ,חדרה                     ,0   ,
טבלת ישובים    ,780       ,אורה                     ,ORA                      ,11   ,ירושלים             ,11   ,ירושלים                  ,26  ,מטה יהודה
טבלת ישובים    ,2012      ,אורות                    ,OROT                     ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,4013      ,אורטל                    ,ORTAL                    ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,403       ,אורים                    ,URIM                     ,62   ,באר שבע             ,62   ,באר שבע                  ,38  ,אשכול
טבלת ישובים    ,882       ,אורנים                   ,ORANIM                   ,31   ,חיפה                ,31   ,חיפה                     ,12  ,זבולון
טבלת ישובים    ,3760      ,אורנית                   ,ORANIT                   ,73   ,טול כרם             ,349  ,ראש העין                 ,0   ,
טבלת ישובים    ,278       ,אושה                     ,USHA                     ,31   ,חיפה                ,27   ,קריות                    ,12  ,זבולון
טבלת ישובים    ,565       ,אזור                     ,AZOR                     ,53   ,חולון               ,53   ,חולון                    ,0   ,
טבלת ישובים    ,1157      ,אחווה                    ,AHAWA                    ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,821       ,אחוזם                    ,AHUZZAM                  ,61   ,אשקלון              ,61   ,אשקלון                   ,50  ,לכיש
טבלת ישובים    ,1330      ,אחוזת ברק                ,AHUZZAT BARAQ            ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,785       ,אחיהוד                   ,AHIHUD                   ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,850       ,אחיטוב                   ,AHITUV                   ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,804       ,אחיסמך                   ,AHISAMAKH                ,43   ,רמלה                ,43   ,רמלה                     ,25  ,חבל מודיעין
טבלת ישובים    ,797       ,אחיעזר                   ,AHI'EZER                 ,43   ,רמלה                ,43   ,רמלה                     ,40  ,שדות דן
טבלת ישובים    ,965       ,אטרש )שבט(               ,ATRASH                   ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,338       ,איבים                    ,IBBIM                    ,61   ,אשקלון              ,61   ,אשקלון                   ,37  ,שער הנגב
טבלת ישובים    ,716       ,אייל                     ,EYAL                     ,42   ,פתח תקווה           ,47   ,כפר סבא                  ,20  ,דרום השרון
טבלת ישובים    ,77        ,איילת השחר               ,AYYELET HASHAHAR         ,21   ,צפת                 ,21   ,צפת                      ,1   ,הגליל העליון
טבלת ישובים    ,294       ,אילון                    ,ELON                     ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,1126      ,אילות                    ,ELOT                     ,62   ,באר שבע             ,63   ,אילת                     ,53  ,חבל אילות
טבלת ישובים    ,49        ,אילניה                   ,ILANIYYA                 ,22   ,כנרת                ,22   ,טבריה                    ,3   ,הגליל התחתון
טבלת ישובים    ,2600      ,אילת                     ,ELAT                     ,62   ,באר שבע             ,63   ,אילת                     ,0   ,
טבלת ישובים    ,1336      ,אירוס                    ,IRUS                     ,44   ,רחובות              ,44   ,רחובות                   ,27  ,גן רווה
טבלת ישובים    ,3762      ,איתמר                    ,ITAMAR                   ,72   ,שכם                 ,48   ,אריאל                    ,72  ,שומרון
טבלת ישובים    ,37        ,איתן                     ,ETAN                     ,61   ,אשקלון              ,61   ,אשקלון                   ,34  ,שפיר
טבלת ישובים    ,886       ,איתנים                   ,ETANIM                   ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,478       ,אכסאל                    ,IKSAL                    ,23   ,עפולה               ,23   ,עפולה                    ,0   ,
טבלת ישובים    ,1359      ,אל סייד                  ,AL SAYYID                ,62   ,באר שבע             ,62   ,באר שבע                  ,69  ,אל קסום
טבלת ישובים    ,1339      ,אל-עזי                   ,AL-AZY                   ,61   ,אשקלון              ,61   ,אשקלון                   ,35  ,יואב
טבלת ישובים    ,1316      ,אל-עריאן                 ,AL-ARYAN                 ,32   ,חדרה                ,32   ,חדרה                     ,14  ,מנשה
טבלת ישובים    ,4003      ,אל-רום                   ,EL-ROM                   ,29   ,גולן                ,21   ,צפת                      ,71  ,גולן
טבלת ישובים    ,1145      ,אלומה                    ,ALUMMA                   ,61   ,אשקלון              ,61   ,אשקלון                   ,34  ,שפיר
טבלת ישובים    ,330       ,אלומות                   ,ALUMMOT                  ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,1182      ,אלון הגליל               ,ALLON HAGALIL            ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,3579      ,אלון מורה                ,ELON MORE                ,72   ,שכם                 ,48   ,אריאל                    ,72  ,שומרון
טבלת ישובים    ,3604      ,אלון שבות                ,ALLON SHEVUT             ,76   ,בית לחם             ,11   ,ירושלים                  ,76  ,גוש עציון
טבלת ישובים    ,429       ,אלוני אבא                ,ALLONE ABBA              ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,4017      ,אלוני הבשן               ,ALLONE HABASHAN          ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,868       ,אלוני יצחק               ,ALLONE YIZHAQ            ,32   ,חדרה                ,32   ,חדרה                     ,14  ,מנשה
טבלת ישובים    ,285       ,אלונים                   ,ALLONIM                  ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,4002      ,אלי-עד                   ,ELI AL                   ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,1365      ,אליאב                    ,ELIAV                    ,61   ,אשקלון              ,61   ,אשקלון                   ,50  ,לכיש
טבלת ישובים    ,41        ,אליכין                   ,ELYAKHIN                 ,41   ,השרון               ,32   ,חדרה                     ,0   ,
טבלת ישובים    ,1248      ,אליפז                    ,ELIFAZ                   ,62   ,באר שבע             ,63   ,אילת                     ,53  ,חבל אילות
טבלת ישובים    ,730       ,אליפלט                   ,ELIFELET                 ,21   ,צפת                 ,21   ,צפת                      ,55  ,מבואות החרמון
טבלת ישובים    ,682       ,אליקים                   ,ELYAQIM                  ,23   ,עפולה               ,23   ,עפולה                    ,13  ,מגידו
טבלת ישובים    ,204       ,אלישיב                   ,ELYASHIV                 ,41   ,השרון               ,32   ,חדרה                     ,16  ,עמק חפר
טבלת ישובים    ,841       ,אלישמע                   ,ELISHAMA                 ,42   ,פתח תקווה           ,47   ,כפר סבא                  ,20  ,דרום השרון
טבלת ישובים    ,1125      ,אלמגור                   ,ALMAGOR                  ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,3556      ,אלמוג                    ,ALMOG                    ,75   ,ירדן )יריחו(        ,11   ,ירושלים                  ,74  ,מגילות ים המלח
טבלת ישובים    ,1309      ,אלעד                     ,EL'AD                    ,42   ,פתח תקווה           ,349  ,ראש העין                 ,0   ,
טבלת ישובים    ,3618      ,אלעזר                    ,EL'AZAR                  ,76   ,בית לחם             ,11   ,ירושלים                  ,76  ,גוש עציון
טבלת ישובים    ,3750      ,אלפי מנשה                ,ALFE MENASHE             ,73   ,טול כרם             ,349  ,ראש העין                 ,0   ,
טבלת ישובים    ,603       ,אלקוש                    ,ELQOSH                   ,24   ,עכו                 ,24   ,עכו                      ,52  ,מעלה יוסף
טבלת ישובים    ,3560      ,אלקנה                    ,ELQANA                   ,73   ,טול כרם             ,349  ,ראש העין                 ,0   ,
טבלת ישובים    ,772       ,אמונים                   ,EMUNIM                   ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,1064      ,אמירים                   ,AMIRIM                   ,21   ,צפת                 ,21   ,צפת                      ,2   ,מרום הגליל
טבלת ישובים    ,1253      ,אמנון                    ,AMNUN                    ,22   ,כנרת                ,22   ,טבריה                    ,55  ,מבואות החרמון
טבלת ישובים    ,23        ,אמציה                    ,AMAZYA                   ,61   ,אשקלון              ,61   ,אשקלון                   ,50  ,לכיש
טבלת ישובים    ,4012      ,אניעם                    ,ANI'AM                   ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,960       ,אסד )שבט(                ,ASAD                     ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,3754      ,אספר                     ,ASEFAR                   ,77   ,חברון               ,11   ,ירושלים                  ,76  ,גוש עציון
טבלת ישובים    ,529       ,אעבלין                   ,I'BILLIN                 ,24   ,עכו                 ,24   ,עכו                      ,0   ,
טבלת ישובים    ,963       ,אעצם )שבט(               ,A'SAM                    ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,959       ,אפיניש )שבט(             ,AFEINISH                 ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,4301      ,אפיק                     ,AFIQ                     ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,176       ,אפיקים                   ,AFIQIM                   ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,313       ,אפק                      ,AFEQ                     ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,3650      ,אפרת                     ,EFRAT                    ,76   ,בית לחם             ,11   ,ירושלים                  ,0   ,
טבלת ישובים    ,701       ,ארבל                     ,ARBEL                    ,22   ,כנרת                ,22   ,טבריה                    ,3   ,הגליל התחתון
טבלת ישובים    ,3598      ,ארגמן                    ,ARGAMAN                  ,75   ,ירדן )יריחו(        ,23   ,עפולה                    ,75  ,ערבות הירדן
טבלת ישובים    ,714       ,ארז                      ,EREZ                     ,61   ,אשקלון              ,61   ,אשקלון                   ,37  ,שער הנגב
טבלת ישובים    ,3570      ,אריאל                    ,ARI'EL                   ,73   ,טול כרם             ,48   ,אריאל                    ,0   ,
טבלת ישובים    ,1324      ,ארסוף                    ,ARSUF                    ,41   ,השרון               ,41   ,נתניה                    ,19  ,חוף השרון
טבלת ישובים    ,71        ,אשבול                    ,ESHBOL                   ,62   ,באר שבע             ,62   ,באר שבע                  ,42  ,מרחבים
טבלת ישובים    ,1276      ,אשבל                     ,NAHAL ESHBAL             ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,70        ,אשדוד                    ,ASHDOD                   ,61   ,אשקלון              ,69   ,אשדוד                    ,0   ,
טבלת ישובים    ,199       ,אשדות יעקב  )איחוד(      ,ASHDOT YA'AQOV(IHUD)     ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,188       ,אשדות יעקב  )מאוחד(      ,ASHDOT YA'AQOV(ME'UH     ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,1188      ,אשחר                     ,ESHHAR                   ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,3722      ,אשכולות                  ,ESHKOLOT                 ,77   ,חברון               ,11   ,ירושלים                  ,78  ,הר חברון
טבלת ישובים    ,2021      ,אשל הנשיא                ,ESHEL HANASI             ,62   ,באר שבע             ,62   ,באר שבע                  ,42  ,מרחבים
טבלת ישובים    ,1152      ,אשלים                    ,ASHALIM                  ,62   ,באר שבע             ,62   ,באר שבע                  ,48  ,רמת נגב
טבלת ישובים    ,7100      ,אשקלון                   ,ASHQELON                 ,61   ,אשקלון              ,61   ,אשקלון                   ,0   ,
טבלת ישובים    ,1256      ,אשרת                     ,ASHERAT                  ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,740       ,אשתאול                   ,ESHTA'OL                 ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,1298      ,אתגר                     ,ETGAR                    ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,6000      ,באקה אל-גרביה            ,BAQA AL-GHARBIYYE        ,32   ,חדרה                ,32   ,חדרה                     ,0   ,
טבלת ישובים    ,21        ,באר אורה                 ,BE'ER ORA                ,62   ,באר שבע             ,63   ,אילת                     ,53  ,חבל אילות
טבלת ישובים    ,1376      ,באר גנים                 ,BEER GANNIM              ,62   ,באר שבע             ,61   ,אשקלון                   ,36  ,חוף אשקלון
טבלת ישובים    ,155       ,באר טוביה                ,BE'ER TUVEYA             ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,2530      ,באר יעקב                 ,BE'ER YA'AQOV            ,43   ,רמלה                ,43   ,רמלה                     ,0   ,
טבלת ישובים    ,1278      ,באר מילכה                ,BE'ER MILKA              ,62   ,באר שבע             ,62   ,באר שבע                  ,48  ,רמת נגב
טבלת ישובים    ,9000      ,באר שבע                  ,BE'ER SHEVA              ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,450       ,בארות יצחק               ,BE'EROT YIZHAQ           ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,25  ,חבל מודיעין
טבלת ישובים    ,697       ,בארותיים                 ,BE'EROTAYIM              ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,399       ,בארי                     ,BE'ERI                   ,62   ,באר שבע             ,62   ,באר שבע                  ,38  ,אשכול
טבלת ישובים    ,559       ,בוסתן הגליל              ,BUSTAN HAGALIL           ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,482       ,בועיינה-נוג'ידאת         ,BU'EINE-NUJEIDAT         ,25   ,נצרת                ,25   ,נוף הגליל                ,0   ,
טבלת ישובים    ,4001      ,בוקעאתא                  ,BUQ'ATA                  ,29   ,גולן                ,21   ,צפת                      ,0   ,
טבלת ישובים    ,698       ,בורגתה                   ,BURGETA                  ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,2043      ,בחן                      ,BAHAN                    ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,762       ,בטחה                     ,BITHA                    ,62   ,באר שבע             ,62   ,באר שבע                  ,42  ,מרחבים
טבלת ישובים    ,234       ,ביצרון                   ,BIZZARON                 ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,998       ,ביר אל-מכסור             ,BIR EL-MAKSUR            ,24   ,עכו                 ,25   ,נוף הגליל                ,0   ,
טבלת ישובים    ,1348      ,ביר הדאג'                ,BIR HADAGE               ,62   ,באר שבע             ,62   ,באר שבע                  ,68  ,נווה מדבר
טבלת ישובים    ,368       ,ביריה                    ,BIRIYYA                  ,21   ,צפת                 ,21   ,צפת                      ,2   ,מרום הגליל
טבלת ישובים    ,317       ,בית אורן                 ,BET OREN                 ,32   ,חדרה                ,32   ,חדרה                     ,15  ,חוף הכרמל
טבלת ישובים    ,3574      ,בית אל                   ,BET EL                   ,74   ,ראמאללה             ,11   ,ירושלים                  ,0   ,
טבלת ישובים    ,562       ,בית אלעזרי               ,BET EL'AZARI             ,44   ,רחובות              ,44   ,רחובות                   ,28  ,ברנר
טבלת ישובים    ,95        ,בית אלפא                 ,BET ALFA                 ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,3652      ,בית אריה                 ,BET ARYE                 ,74   ,ראמאללה             ,349  ,ראש העין                 ,0   ,
טבלת ישובים    ,1076      ,בית ברל                  ,BET BERL                 ,42   ,פתח תקווה           ,47   ,כפר סבא                  ,20  ,דרום השרון
טבלת ישובים    ,480       ,בית ג'ן                  ,BEIT JANN                ,24   ,עכו                 ,20   ,כרמיאל                   ,0   ,
טבלת ישובים    ,619       ,בית גוברין               ,BET GUVRIN               ,61   ,אשקלון              ,61   ,אשקלון                   ,35  ,יואב
טבלת ישובים    ,571       ,בית גמליאל               ,BET GAMLI'EL             ,44   ,רחובות              ,44   ,רחובות                   ,29  ,חבל יבנה
טבלת ישובים    ,466       ,בית דגן                  ,BET DAGAN                ,43   ,רמלה                ,43   ,רמלה                     ,0   ,
טבלת ישובים    ,723       ,בית הגדי                 ,BET HAGADDI              ,62   ,באר שבע             ,62   ,באר שבע                  ,39  ,שדות נגב
טבלת ישובים    ,373       ,בית הלוי                 ,BET HALEVI               ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,322       ,בית הלל                  ,BET HILLEL               ,21   ,צפת                 ,21   ,צפת                      ,55  ,מבואות החרמון
טבלת ישובים    ,572       ,בית העמק                 ,BET HAEMEQ               ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,3645      ,בית הערבה                ,BET HAARAVA              ,75   ,ירדן )יריחו(        ,11   ,ירושלים                  ,74  ,מגילות ים המלח
טבלת ישובים    ,242       ,בית השיטה                ,BET HASHITTA             ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,353       ,בית זיד                  ,BET ZEID                 ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,710       ,בית זית                  ,BET ZAYIT                ,11   ,ירושלים             ,11   ,ירושלים                  ,26  ,מטה יהודה
טבלת ישובים    ,143       ,בית זרע                  ,BET ZERA                 ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,3575      ,בית חורון                ,BET HORON                ,74   ,ראמאללה             ,11   ,ירושלים                  ,73  ,מטה בנימין
טבלת ישובים    ,877       ,בית חירות                ,BET HERUT                ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,2033      ,בית חלקיה                ,BET HILQIYYA             ,44   ,רחובות              ,44   ,רחובות                   ,31  ,נחל שורק
טבלת ישובים    ,159       ,בית חנן                  ,BET HANAN                ,44   ,רחובות              ,44   ,רחובות                   ,27  ,גן רווה
טבלת ישובים    ,800       ,בית חנניה                ,BET HANANYA              ,32   ,חדרה                ,32   ,חדרה                     ,15  ,חוף הכרמל
טבלת ישובים    ,1050      ,בית חשמונאי              ,BET HASHMONAY            ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,288       ,בית יהושע                ,BET YEHOSHUA             ,41   ,השרון               ,41   ,נתניה                    ,19  ,חוף השרון
טבלת ישובים    ,265       ,בית יוסף                 ,BET YOSEF                ,23   ,עפולה               ,23   ,עפולה                    ,7   ,עמק המעיינות
טבלת ישובים    ,200       ,בית ינאי                 ,BET YANNAY               ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,326       ,בית יצחק-שער חפר         ,BET YIZHAQ-SH. HEFER     ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,430       ,בית לחם הגלילית          ,BET LEHEM HAGELILIT      ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,751       ,בית מאיר                 ,BET ME'IR                ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,784       ,בית נחמיה                ,BET NEHEMYA              ,43   ,רמלה                ,43   ,רמלה                     ,25  ,חבל מודיעין
טבלת ישובים    ,16        ,בית ניר                  ,BET NIR                  ,61   ,אשקלון              ,61   ,אשקלון                   ,35  ,יואב
טבלת ישובים    ,672       ,בית נקופה                ,BET NEQOFA               ,11   ,ירושלים             ,11   ,ירושלים                  ,26  ,מטה יהודה
טבלת ישובים    ,202       ,בית עובד                 ,BET OVED                 ,44   ,רחובות              ,44   ,רחובות                   ,27  ,גן רווה
טבלת ישובים    ,301       ,בית עוזיאל               ,BET UZZI'EL              ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,756       ,בית עזרא                 ,BET EZRA                 ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,604       ,בית עריף                 ,BET ARIF                 ,43   ,רמלה                ,43   ,רמלה                     ,25  ,חבל מודיעין
טבלת ישובים    ,212       ,בית צבי                  ,BET ZEVI                 ,32   ,חדרה                ,32   ,חדרה                     ,15  ,חוף הכרמל
טבלת ישובים    ,598       ,בית קמה                  ,BET QAMA                 ,62   ,באר שבע             ,62   ,באר שבע                  ,41  ,בני שמעון
טבלת ישובים    ,365       ,בית קשת                  ,BET QESHET               ,22   ,כנרת                ,22   ,טבריה                    ,3   ,הגליל התחתון
טבלת ישובים    ,848       ,בית רבן                  ,BET RABBAN               ,44   ,רחובות              ,44   ,רחובות                   ,29  ,חבל יבנה
טבלת ישובים    ,1162      ,בית רימון                ,BET RIMMON               ,23   ,עפולה               ,23   ,עפולה                    ,3   ,הגליל התחתון
טבלת ישובים    ,9200      ,בית שאן                  ,BET SHE'AN               ,23   ,עפולה               ,23   ,עפולה                    ,0   ,
טבלת ישובים    ,2610      ,בית שמש                  ,BET SHEMESH              ,11   ,ירושלים             ,13   ,בית שמש                  ,0   ,
